,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Line Item,Description,Projected Budget,Projected Commitments,Estimate at Completion,Actuals To Date,Actuals + Projections,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021
,05,External Design Consultant Fees,"57,240.84","57,240.84","57,240.84","57,240.84","57,240.84",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"13,835.00","6,917.50",0.00,"6,917.50",0.00,540.00,0.00,0.00,0.00,600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,521.00",0.00,"2,085.84",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"14,500.00",324.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,05.501,Executive Architect/Engineer,"27,670.00","27,670.00","27,670.00","27,670.00","27,670.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"13,835.00","6,917.50",0.00,"6,917.50",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,05.506,Project Management Consultants,"1,140.00","1,140.00","1,140.00","1,140.00","1,140.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,540.00,0.00,0.00,0.00,600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,05.599,Other External Design Consultants,"28,430.84","28,430.84","28,430.84","28,430.84","28,430.84",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,521.00",0.00,"2,085.84",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"14,500.00",324.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,06,Internal FD&C Recharge Services,"316,705.50","316,705.50","316,705.50","316,705.50","316,705.50",473.00,"9,700.00","12,020.00","16,130.00","(12,240.00)","3,395.00","2,736.00","10,386.50","12,384.50","13,657.50","21,379.00","14,039.50","14,855.00","20,097.50","12,576.50","13,816.75","23,781.75","16,315.50","19,897.50","18,578.50","20,801.25","21,213.75","26,830.00","22,429.00","25,824.00","25,580.50","17,092.25","16,618.00","32,559.50","19,965.75","23,631.50","23,890.00","22,004.75","23,889.75","20,950.50","24,352.50","20,000.75","7,845.00","(110,000.00)","1,679.00","1,120.00",0.00,"(235,882.00)","1,062.00","3,186.00","2,325.00","2,256.50",0.00,354.00,90.00,250.00,375.00,0.00,0.00,250.00,250.00,0.00,125.00,0.00,625.00,840.00,"2,520.00","1,365.00","1,162.00",0.00,"1,323.00",504.00,826.00,140.00,140.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,361.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,06.601,FD&C Project Administration,"44,458.00","44,458.00","44,458.00","44,458.00","44,458.00",0.00,0.00,"2,720.00","3,280.00","2,570.00","1,520.00","2,436.00","3,624.00","2,372.00","2,420.00","5,604.00","5,202.00","3,380.00","4,565.00","3,710.00","2,895.00","6,265.00","2,020.00","2,040.00","3,160.00","3,120.00","2,915.00","6,260.00","2,770.00","2,640.00","2,820.00",340.00,"2,760.00","4,670.00","1,260.00","3,840.00","1,560.00",0.00,"3,120.00","1,560.00","1,560.00","1,920.00","1,560.00",0.00,0.00,0.00,0.00,"(60,000.00)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,06.602,FD&C Project Management,"57,900.25","57,900.25","57,900.25","57,900.25","57,900.25",420.00,"4,800.00","5,100.00","5,900.00","(16,160.00)",900.00,0.00,"5,000.00","5,800.00","8,400.00","9,300.00","6,600.00","8,200.00","9,936.00","7,128.00","5,940.00","9,396.00","7,560.00","9,180.00","4,212.00","6,156.00","7,236.00","9,288.00","7,884.00","11,988.00","10,080.00","9,408.00","7,504.00","13,104.00","7,616.00","8,176.00","9,856.00","11,648.00","6,048.00","10,864.00","8,288.00","7,056.00",472.00,"(110,000.00)",0.00,826.00,0.00,"(97,000.00)",944.00,"3,186.00","1,888.00","2,242.00",0.00,354.00,0.00,250.00,375.00,0.00,0.00,250.00,250.00,0.00,125.00,0.00,625.00,0.00,"1,260.00",420.00,280.00,0.00,0.00,0.00,700.00,140.00,140.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,361.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,06.603,FD&C Project Engineering/Mechanical/Electrical/Civil,"53,778.00","53,778.00","53,778.00","53,778.00","53,778.00",0.00,300.00,800.00,"1,900.00",300.00,100.00,0.00,0.00,100.00,0.00,100.00,400.00,700.00,"2,700.00",648.00,"3,564.00","3,024.00","2,592.00","3,672.00","3,996.00","3,996.00","3,888.00","3,132.00","1,620.00",324.00,672.00,448.00,560.00,"2,016.00","1,124.00","1,692.00","1,072.00",676.00,"2,024.00","1,072.00","1,572.00","1,920.00","1,074.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,06.604,FD&C Contracts Office,"35,901.50","35,901.50","35,901.50","35,901.50","35,901.50",53.00,"3,600.00","3,400.00","3,725.00","1,925.00",537.50,300.00,"1,462.50","2,187.50","1,212.50","4,025.00",650.00,537.50,498.25,0.00,66.25,439.25,318.00,964.00,"1,119.00",858.00,880.50,430.00,320.00,293.50,279.00,304.50,442.00,112.00,453.75,302.50,139.50,235.75,560.00,224.00,82.50,542.25,673.00,0.00,735.00,236.00,0.00,118.00,118.00,0.00,437.00,14.50,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,06.605,FD&C IOR/Construction Inspection,"70,732.00","70,732.00","70,732.00","70,732.00","70,732.00",0.00,0.00,0.00,800.00,0.00,0.00,0.00,0.00,"1,400.00","1,200.00","1,600.00",200.00,600.00,0.00,216.00,0.00,"1,080.00","1,944.00","2,160.00","4,104.00","4,644.00","4,320.00","4,752.00","7,344.00","8,856.00","8,512.00","4,928.00","4,032.00","11,200.00","9,072.00","9,016.00","10,080.00","8,400.00","10,584.00","6,048.00","11,200.00","6,720.00","3,776.00",0.00,944.00,0.00,0.00,"(79,000.00)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
