 ,Line Item,Description,Projected Budget,Projected Commitments,Estimate at Completion,Actuals To Date,Actuals + Projections,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct
,5,External Design Consultant Fees,"39,194.18","39,194.18","39,194.18","39,194.18","39,194.18",0,0,0,0,0,0,0,0,"5,000.00",0,0,0,0,0,0,"7,191.00",0,0,0,0,0,"21,771.18","4,982.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.507,Construction Management and/or Scheduling Consultants,"7,191.00","7,191.00","7,191.00","7,191.00","7,191.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,191.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.508,Building Code/Plan Review and Fire/Life Safety Consultant,"26,753.18","26,753.18","26,753.18","26,753.18","26,753.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,771.18","4,982.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.509,Cost Estimating Consultants,"5,000.00","5,000.00","5,000.00","5,000.00","5,000.00",0,0,0,0,0,0,0,0,"5,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.599,Other External Design Consultants,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,6,Internal FD&C Recharge Services,"1,546,396.15","1,546,396.15","1,546,396.15","1,546,396.15","1,546,396.15","3,156.00","2,898.50","16,147.00","19,406.50","28,168.25","14,730.75","25,652.50","31,775.50","17,493.00","32,679.00","14,941.00","20,064.00","24,205.50","38,195.00","110,000.00","32,653.00","53,196.00",0,"28,563.00","22,523.00","23,208.00","33,823.50","48,069.00",0,"34,457.90","32,835.00","48,777.50","35,610.00","35,485.00","38,437.50","64,310.00","37,780.00",0,"43,570.00","41,490.00","45,462.50","37,952.50","43,392.75","41,694.50","66,034.75",0,"22,042.50","17,299.50","21,394.00","11,517.00","10,624.50","10,082.50","131,386.00","8,793.00","3,736.25","4,276.25","4,227.25","2,302.50","3,350.00",500,750,"1,500.00","1,769.00",625,0,0,"1,095.00",288,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,6.601,FD&C Project Administration,"165,089.00","165,089.00","165,089.00","165,089.00","165,089.00","1,320.00","1,360.00","2,550.00","1,360.00","4,590.00",0,224,0,672,"1,384.00","1,086.00","2,542.00","2,286.00","6,300.00",0,"3,990.00","6,360.00",0,"3,630.00","3,600.00","2,880.00","2,130.00","4,740.00",0,"2,820.00","2,185.00","6,910.00","3,170.00","4,175.00","1,835.00","5,420.00","6,210.00",0,"2,185.00","3,235.00","2,885.00","3,670.00","4,665.00","5,415.00","10,635.00",0,"7,450.00","7,080.00","6,710.00","1,665.00","3,090.00","2,230.00","4,080.00","4,635.00","1,450.00",690,"1,605.00",595,"1,390.00",250,750,"1,500.00","1,500.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,6.602,FD&C Project Management,"650,352.50","650,352.50","650,352.50","650,352.50","650,352.50","1,728.00","1,232.00","12,096.00","14,952.00","18,368.00","8,008.00","10,967.00","14,056.00","9,128.00","16,856.00","6,440.00","9,352.00","12,992.00","16,107.00","110,000.00","16,756.00","25,075.00",0,"11,800.00","11,918.00","10,974.00","15,989.00","19,116.00",0,"15,045.00","13,937.50","17,375.00","11,000.00","12,500.00","12,875.00","23,000.00","12,437.50",0,"13,937.50","12,312.50","12,312.50","10,312.50","14,370.00","13,270.00","24,820.00",0,"8,022.50","7,425.00","10,307.50","5,792.50","3,475.00","3,617.50","2,330.00","4,032.00","1,685.00","2,530.00","2,281.00","1,642.50","1,895.00",250,0,0,269,0,0,0,"1,095.00",288,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,6.603,FD&C Project Engineering/Mechanical/Electrical/Civil,"173,472.00","173,472.00","173,472.00","173,472.00","173,472.00",0,112,784,"2,240.00","2,800.00","4,222.00","5,902.00","10,264.00","3,652.00","3,324.00","2,480.00","2,312.00","3,822.00","9,724.00",0,"6,284.00","11,819.00",0,"5,570.00","4,083.00","4,862.00","6,502.00","8,532.00",0,"4,862.00","4,462.50","6,212.50","6,275.00","3,575.00","7,662.50","6,350.00","2,062.50",0,"4,562.50","5,337.50","3,825.00","2,925.00","4,355.00","4,355.00","4,970.00",0,"1,125.00",500,0,250,375,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,6.604,FD&C Contracts Office,"59,882.40","59,882.40","59,882.40","59,882.40","59,882.40",108,112,112,139.5,361.5,"1,744.50","6,469.50","4,937.00","2,088.50","8,805.00","4,632.50","4,373.00","1,550.00","2,054.00",0,"1,054.00",294,0,"2,137.00",439,354,"1,037.50","3,239.00",0,"1,578.90",90,375,310,"1,260.00","1,250.00",540,500,0,775,280,185,515,210,415,"1,018.75",0,406.5,313,313,250,251,0,125,126,601.25,"1,056.25",341.25,65,65,0,0,0,0,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
