 ,Line Item,Description,Projected Budget,Projected Commitments,Estimate at Completion,Actuals To Date,Actuals + Projections,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct
 ,7.799,"Other Surveys, Testing, or Reproduction Costs",0,-350.43,0,-350.43,-350.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-350.43,0,0,0,0,0,0,0,0
,8,Special Cost Items,"21,545,768.33","21,266,450.10","21,545,768.33","1,845,637.44","1,845,637.44","9,900.00","5,445.67","256,890.23","110,378.00","152,486.86","21,414.49","101,746.68","72,873.37","527,545.26","11,105.00",402,"10,918.50","2,375.00","42,422.76","44,059.99","24,169.00","46,209.60","6,781.00","8,864.12","69,518.60","11,589.10","5,317.25","7,663.00","5,901.50","7,317.95","9,894.75","4,393.35","8,050.00","11,690.90","16,017.39","18,178.80","19,808.89","14,516.70","12,309.45","11,330.40","7,106.85","12,635.00","11,162.50","6,235.00","33,035.03","22,534.99","27,847.68","7,676.29","4,172.50","6,051.89","1,704.94","3,075.70","1,155.00","1,601.25",0,"3,110.00",95.09,0,0,"5,413.89",0,0,"1,538.28",0,0
 ,8.801,Loan Finance Charges/lnterest During Construction,"19,380,000.00","19,380,000.00","19,380,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.802,Detailed Project Program (DPP) & Predesign Study Costs,"612,504.00","612,504.00","612,504.00","612,504.00","612,504.00",0,0,"250,000.00","100,000.00","120,504.00","9,000.00","98,000.00","35,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.803,"Environmental Review Costs, EIR Consultant & Related Costs","132,771.62","132,771.62","132,771.62","132,758.77","132,758.77",0,"3,001.67","2,307.23",0,"18,993.78",0,0,"34,176.37","24,611.26",0,0,"10,918.50",0,"19,060.76","19,689.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.808,"Plan Check Fees including DSA, SFM, & EH&S Review Charges","113,972.04","113,972.04","113,972.04","113,972.04","113,972.04",0,380,0,0,0,181.04,0,575,184,989,402,0,0,862,0,"1,369.00",698,"3,321.00","3,055.50","1,043.00","1,144.50",0,"3,523.00","1,691.00","2,990.00","3,680.00",460,"6,670.00","5,486.00","7,820.00","11,526.00","8,743.00","5,750.00","7,015.00","4,370.00","1,380.00","3,335.00","3,335.00",690,"8,191.00","6,900.00","1,265.00","2,364.00",0,"2,584.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.81,Environmental Mitigation Monitoring Services,"47,171.00","47,171.00","47,171.00","35,900.92","35,900.92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,225.00",0,"2,428.62",915.6,684.6,"1,967.25",0,985.5,"1,027.95","1,884.75",973.35,0,"1,194.90","2,601.85","1,192.80",857.85,686.7,"1,074.45","1,100.40",626.85,0,"2,292.50",0,"2,231.25","1,216.25","1,618.75",0,"2,572.50",0,612.5,822.5,"1,155.00","1,601.25",0,350,0,0,0,0,0,0,0,0,0
 ,8.811,Hazardous Material Consultant,"98,931.00","98,931.00","98,931.00","85,741.00","85,741.00",0,0,"3,323.00","1,858.00",0,0,0,0,0,0,0,0,0,0,"16,500.00","18,900.00","15,710.00",0,0,"19,690.00","9,760.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.812,Special Design Consultants (Other),"13,166.62","13,166.62","13,166.62","13,166.62","13,166.62",0,0,0,0,"1,494.00","3,304.10","2,868.52","2,750.00","2,750.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.813,Independent Seismic & Lateral Plan/Calc Review,"90,000.00","90,000.00","90,000.00","90,000.00","90,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,"22,500.00",0,0,"22,500.00",0,0,"45,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
