 ,Line Item,Description,Projected Budget,Projected Commitments,Estimate at Completion,Actuals To Date,Actuals + Projections,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun
,0,Site Clearance of Hazardous or Obstructing Existing Conditions Prior to Prime Contract,"70,834.00","70,834.00","70,834.00","70,834.00","70,834.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"70,834.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,0.008,Removal and Disposal of Contaminated Soils,"70,834.00","70,834.00","70,834.00","70,834.00","70,834.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"70,834.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1,Building Construction & Site Cost Inside Five Feet of Building Perimeter,"80,353.99","80,244.87","80,353.99","78,959.07","78,959.07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,123.19",0,0,"3,175.04",0,0,"4,211.78","4,764.45","3,056.08",570.61,"10,029.25","2,682.62","8,248.41",526.61,0,"1,359.39","5,757.10",0,719,0,614.4,755.58,0,"1,482.17",0,0,73.82,676.34,"1,096.86",359.17,"4,485.66",412.53,"13,167.65",0,"3,043.29","5,792.00",0,0,0,0,776.07,0,0,0,0,0,0,0,0,0,0,0
 ,1.108,Facilites Management/Engineering Work Orders,"61,066.49","61,041.49","61,066.49","61,016.49","61,016.49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,123.19",0,0,"3,175.04",0,0,"4,211.78","4,764.45","3,056.08",570.61,"10,029.25","1,966.74",328.41,526.61,0,302.89,"5,757.10",0,0,0,614.4,755.58,0,"1,482.17",0,0,73.82,196.86,"1,096.86",359.17,"4,485.66",412.53,"11,907.93",0,"3,043.29",0,0,0,0,0,776.07,0,0,0,0,0,0,0,0,0,0,0
 ,1.109,Telecommunications (ACT),"3,800.00","3,715.88","3,800.00","2,455.08","2,455.08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479.48,0,0,0,0,"1,259.72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,1.112,Builders Risk Insurance,"7,920.00","7,920.00","7,920.00","7,920.00","7,920.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,920.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,1.114,"Security Alarms, Video Security, Security Manpower","7,567.50","7,567.50","7,567.50","7,567.50","7,567.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,056.50",0,0,719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,792.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,"Exterior Utility Work, Outside Five Feet of Building Perimeter","21,518.00","21,518.00","21,518.00","16,150.00","16,150.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,225.00","1,925.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,000.00",0
 ,2.299,Other Exterior Utilities,"21,518.00","21,518.00","21,518.00","16,150.00","16,150.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,225.00","1,925.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,000.00",0
,4,"Site Development, Outside Five Feet of Building Perimeter","17,328,469.00","17,326,430.00","17,328,469.00","17,303,469.00","17,303,469.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"546,303.00",0,"3,685,457.41","737,733.11","238,530.27","176,761.00","105,390.71","248,700.44","46,675.08","509,913.12","465,434.84","458,581.33","348,389.94","179,934.39","15,808.00","107,642.26","87,979.47","197,065.49","580,660.33","581,870.43","789,233.91","1,272,168.96","949,282.99","1,037,137.33","1,234,172.89","625,086.08","330,994.85",0,"104,339.26","254,015.65","165,044.78",0,"290,785.70","348,421.34","495,145.80","26,983.92",0,"61,824.92",0,0,0,0,0,0,0
 ,4.405,"Prime General Contractor, Other Site Development Component","17,303,469.00","17,303,469.00","17,303,469.00","17,303,469.00","17,303,469.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"546,303.00",0,"3,685,457.41","737,733.11","238,530.27","176,761.00","105,390.71","248,700.44","46,675.08","509,913.12","465,434.84","458,581.33","348,389.94","179,934.39","15,808.00","107,642.26","87,979.47","197,065.49","580,660.33","581,870.43","789,233.91","1,272,168.96","949,282.99","1,037,137.33","1,234,172.89","625,086.08","330,994.85",0,"104,339.26","254,015.65","165,044.78",0,"290,785.70","348,421.34","495,145.80","26,983.92",0,"61,824.92",0,0,0,0,0,0,0
 ,4.406,Other Site Development/Specialty Contractors NOT Under Prime,"25,000.00","22,961.00","25,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5,External Design Consultant Fees,"1,185,770.00","1,185,170.00","1,185,770.00","1,181,803.65","1,181,803.65",0,0,0,0,0,"28,687.50","21,311.75",0,"30,625.00","9,375.75",0,"59,091.53","42,428.47","4,625.00","6,050.00","77,763.00","5,400.00","9,875.00","68,666.99","18,455.00",0,"215,186.91","177,635.50","8,671.25","29,768.75","17,685.75","81,606.25","13,643.75","6,756.25","17,290.00","5,600.00","58,667.50","3,605.00","1,500.00","6,771.25",50,0,"5,905.50","1,600.00","26,000.00","1,225.00","10,518.75","1,743.75","15,556.25","11,731.25","5,415.63","3,422.50",0,"30,034.38","11,508.38","6,109.11",0,0,790,0,0,"2,700.00",0,0,"6,556.25",0,"12,700.00",0,0,"1,493.75",0,0,0,0,0
 ,5.501,Executive Architect/Engineer,"1,141,770.00","1,141,170.00","1,141,770.00","1,141,169.25","1,141,169.25",0,0,0,0,0,"28,687.50","21,311.75",0,"30,625.00","9,375.75",0,"59,091.53","42,428.47",0,300,"74,905.00","5,400.00",0,"65,515.00","13,580.00",0,"211,732.50","177,635.50","7,796.25","29,018.75","17,060.75","81,606.25","13,643.75","6,756.25","17,290.00","5,600.00","58,667.50","3,605.00",0,"6,771.25",50,0,"5,905.50","1,600.00","26,000.00","1,225.00","10,518.75","1,743.75","15,556.25","11,731.25","5,415.63","3,422.50",0,"27,739.38","11,508.38","6,109.11",0,0,790,0,0,"2,700.00",0,0,"6,556.25",0,"12,700.00",0,0,"1,493.75",0,0,0,0,0
 ,5.506,Project Management Consultants,"30,000.00","30,000.00","30,000.00","30,000.00","30,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,"4,625.00","5,750.00","2,750.00",0,"1,875.00","3,000.00","4,875.00",0,"3,375.00",0,875,750,625,0,0,0,0,0,0,0,"1,500.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.509,Cost Estimating Consultants,"8,000.00","8,000.00","8,000.00","8,000.00","8,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.511,Executive Architect/Engineer Reimbursable Costs,"6,000.00","6,000.00","6,000.00","2,634.40","2,634.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,151.99,0,0,79.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,295.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,6,Internal FD&C Recharge Services,"708,000.00","709,633.50","711,939.50","709,633.50","709,672.00",0,635,"5,582.50","2,922.50","4,497.50","2,887.50",0,"4,255.00","4,225.00","4,377.50","3,032.50","4,310.00","3,919.25","10,060.75",0,"4,754.50","3,878.00","8,152.25","5,713.25","13,437.75","9,209.25","10,174.75","17,441.50","12,862.25","17,432.25","22,919.50","24,897.00","21,184.25","19,654.25","15,217.50","24,314.50","32,021.25","23,426.25","11,064.00","18,119.00","55,391.00","21,383.00","23,190.25","28,027.75","14,832.50",0,"7,188.00","27,540.50","14,177.00","16,263.50","17,022.00",0,"26,251.50","17,419.00","17,975.00","19,615.00",0,0,"16,786.00",0,"22,721.00","7,979.00",891,0,"-16,959.00",898.5,201.5,721,413.25,"1,229.50",801.5,124.5,86,885.5,38.5
 ,6.601,FD&C Project Administration,"88,500.00","88,035.00","88,500.00","88,035.00","88,035.00",0,0,"2,880.00","1,135.00","1,135.00",830,0,830,830,830,240,"1,250.00","1,250.00","2,500.00",0,"1,250.00","1,250.00","2,055.00","1,990.00","3,072.50","2,517.50","2,055.00","3,720.00","1,260.00",725,"1,985.00","1,190.00","1,035.00",345,0,940,"1,690.00","1,940.00","1,070.00","1,450.00","17,330.00","5,400.00","4,760.00","12,020.00","1,140.00",0,380,380,0,0,0,0,0,"1,375.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,6.602,FD&C Project Management,"242,000.00","242,896.50","242,896.50","242,896.50","242,896.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,750.00","2,937.50","4,187.50","3,625.00","2,132.50","6,587.50","8,528.50","9,961.00","12,692.00","14,617.00","11,520.50","11,858.00","8,960.00","14,044.50","15,267.50","11,757.50","4,361.50","6,021.50","14,648.50","6,903.00","7,954.00","5,426.50","4,912.50",0,"1,748.00","3,670.50","2,042.00","4,203.50","4,919.50",0,"10,730.00","5,484.00","4,634.00","3,559.00",0,0,"3,076.00",0,"4,151.00","2,111.00",711,0,"-2,775.00",860,86,344,86,344,86,86,86,0,0
