 ,Line Item,Description,Projected Budget,Projected Commitments,Estimate at Completion,Actuals To Date,Actuals + Projections,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun
 ,6.603,FD&C Project Engineering/Mechanical/Electrical/Civil,"45,000.00","44,372.50","45,000.00","44,372.50","44,372.50",0,0,"2,187.50","1,562.50","3,062.50","1,562.50",0,"3,125.00","2,750.00","3,187.50","2,187.50","2,625.00","2,250.00","5,687.50",0,"2,937.50","2,250.00","1,387.50",140,"4,275.00",562.5,"2,632.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,6.604,FD&C Contracts Office,"32,500.00","34,738.50","34,738.50","34,738.50","34,777.00",0,635,395,45,150,150,0,30,75,60,245,120,120,723.5,0,252,0,140.75,141.75,"1,257.00","1,590.75","2,535.75","3,866.50","2,066.25",926.25,65,32.5,406.25,81.25,65,0,81.25,0,130,"2,750.00","2,122.50",260,276.25,"1,288.75","1,215.00",0,780,"1,410.00",130,162.5,815,0,"1,646.50",888,402,234,0,0,144,0,702,390,180,0,72,38.5,115.5,77,327.25,885.5,115.5,38.5,0,885.5,38.5
 ,6.605,FD&C IOR/Construction Inspection,"220,600.00","221,404.50","221,404.50","221,404.50","221,404.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,850.00",0,"4,682.50","7,235.00","7,985.00","6,500.00","5,875.00","5,250.00","8,355.00","12,350.00","8,120.00","4,625.00","6,370.00","13,360.00","5,375.00","6,625.00","5,750.00","4,250.00",0,"1,875.00","16,750.00","10,250.00","8,875.00","7,875.00",0,"8,917.00","6,900.00","10,419.00","11,178.00",0,0,"8,418.00",0,"12,144.00","2,346.00",0,0,0,0,0,300,0,0,600,0,0,0,0
 ,6.607,FD&C Project Specialist,"79,400.00","78,186.50","79,400.00","78,186.50","78,186.50",0,0,120,180,150,345,0,270,570,300,360,315,299.25,"1,149.75",0,315,378,819,504,645.75,913.5,819,"1,417.50","1,007.50","1,137.50",942.5,"1,072.50","1,722.50","1,495.00",942.5,975,"2,632.50","1,608.75",877.5,"1,527.50","7,930.00","3,445.00","3,575.00","3,542.50","3,315.00",0,"2,405.00","5,330.00","1,755.00","3,022.50","3,412.50",0,"4,958.00","2,772.00","2,520.00","4,644.00",0,0,"5,148.00",0,"5,724.00","3,132.00",0,0,"-14,256.00",0,0,0,0,0,0,0,0,0,0
,7,"Advertisement, Surveys, Soils Reports, Material Testing & Special Inspection, Reproduction Costs","181,647.19","181,647.19","181,647.19","180,653.59","180,653.59","1,015.60",102.65,0,0,0,131.8,0,"15,002.50",0,"1,997.50","7,490.00",0,308.84,"7,000.00",7.7,7.12,0,565.97,"5,531.00","11,810.63",0,"1,589.41",970.56,0,"13,145.55","12,043.40","30,310.76","1,440.00","10,563.00","4,090.50","1,688.02",983.88,"1,372.00","4,712.00","5,194.05","2,302.50",507.18,"8,002.00",562.5,0,"9,393.50","1,926.56",310,655,664.91,0,655,0,600,0,"8,830.00","2,233.00","4,937.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,7.701,Publishing and Advertising Costs,"1,015.60","1,015.60","1,015.60","1,015.60","1,015.60","1,015.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,7.702,Boundary and Topographic Surveys,"49,810.00","49,810.00","49,810.00","48,816.40","48,816.40",0,0,0,0,0,0,0,"15,002.50",0,"1,997.50","7,490.00",0,0,"7,000.00",0,0,0,0,"5,520.00",0,0,0,0,0,0,0,"2,818.90","1,440.00",0,0,0,0,0,0,0,"2,302.50",0,0,562.5,0,0,"1,845.00",310,655,617.5,0,655,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,7.703,"Soils, Geology, Foundation Recommendations, Hydrology","10,880.00","10,880.00","10,880.00","10,880.00","10,880.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,880.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,7.704,Material & Workmanship Testing & Inspection,"112,644.00","112,644.00","112,644.00","112,644.00","112,644.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,455.85","12,043.40","27,491.86",0,"10,563.00","4,090.50","1,355.39",0,"1,372.00","4,712.00","5,164.50",0,0,"8,002.00",0,0,"9,393.50",0,0,0,0,0,0,0,0,0,"8,830.00","2,233.00","4,937.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,7.707,Construction Document Reproduction Costs,"6,007.41","6,007.41","6,007.41","6,007.41","6,007.41",0,0,0,0,0,0,0,0,0,0,0,0,294.84,0,0,0,0,565.97,0,919.63,0,"1,178.41",756.69,0,689.7,0,0,0,0,0,0,983.88,0,0,29.55,0,507.18,0,0,0,0,81.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,7.708,Postal/Courier Services,50.82,50.82,50.82,50.82,50.82,0,0,0,0,0,0,0,0,0,0,0,0,14,0,7.7,7.12,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,7.709,"Meals, Travel & Entertainment Costs","1,191.95","1,191.95","1,191.95","1,191.95","1,191.95",0,102.65,0,0,0,131.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,213.87,0,0,0,0,0,0,0,332.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,7.799,"Other Surveys, Testing, or Reproduction Costs",47.41,47.41,47.41,47.41,47.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,8,Special Cost Items,"123,351.17","123,669.17","123,669.17","123,669.17","123,669.17",0,0,0,0,0,0,0,0,0,"4,800.00",0,0,92,712.8,"7,500.00","1,600.00","1,020.00",142,460,942.8,0,"3,135.00",657,550,304,"1,303.00","3,249.00","2,440.00",783,426,0,0,345,"3,338.75","7,183.00",0,"1,012.50","1,222.50","1,968.00",0,"2,231.00","3,481.00","1,407.00","11,644.98","7,505.50","2,655.00","5,690.00","3,300.59","3,226.50",115,284,"1,548.75",0,"29,842.00",284,808,142,"2,348.50",0,728,0,355,0,0,0,0,0,886,0,0
