 ,Line Item,Description,Projected Budget,Projected Commitments,Estimate at Completion,Actuals To Date,Actuals + Projections,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21
 ,1.112,Builders Risk Insurance,"110,124.00","109,652.00","110,124.00","109,652.00","109,652.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"87,276.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,376.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,1.115,Building Signage,"22,805.00","22,805.00","22,805.00","22,805.00","22,805.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,805.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,1.116,University Controlled Insurance Program (UCIP),"1,504,918.00","1,370,388.00","1,504,918.00","1,370,388.00","1,370,388.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,308,918.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"61,470.00",0,0,0,0,0,0,0,0,0,0,0,0,0
 ,1.199,Other Building Construction,"5,553.24","5,553.24","5,553.24","5,553.24","5,553.24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,553.24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,"Group 2 & 3 Furnishings & Equipment, Owner Furnished Owner Installed (OFOI)","4,600,000.00","4,600,000.00","4,600,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,3.301,Moveable Equipment & Furnishings,"4,600,000.00","4,600,000.00","4,600,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5,External Design Consultant Fees,"8,694,087.12","8,694,087.12","8,694,087.12","8,694,087.12","8,694,087.12",0,0,"347,177.60",410.11,"546,215.98",0,0,0,"544,279.90","5,314.04","28,398.99","661,545.05","1,093,111.40",0,"301,217.00","226,392.87","167,478.00",0,"34,748.03",0,"799,441.34","493,195.62","3,223.74","673,120.79","11,266.04","856,365.60","61,725.00","140,227.51",0,"2,500.00","187,368.81","-13,241.35","-186,344.00","64,201.74","76,806.00","72,891.05","61,856.00","63,694.59","62,491.48","64,795.83","62,846.00","89,693.50","132,679.12","120,000.00","63,204.42","78,428.26","70,856.00","21,389.78","89,028.53","62,953.69","64,630.04","6,978.50",0,"12,507.30",57.61,0,0,"61,913.61",0,0,"305,046.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.501,Executive Architect/Engineer,"7,139,979.64","7,139,979.64","7,139,979.64","7,139,979.64","7,139,979.64",0,0,"347,177.60",410.11,"546,215.98",0,0,0,"532,084.31",0,0,"629,650.00","1,055,111.40",0,"251,217.00","200,973.60","167,478.00",0,0,0,"794,640.60","397,320.30",0,"662,200.50",0,"856,365.60","61,725.00","137,297.00",0,"2,500.00","185,568.00","-658,976.35","-215,844.00","64,201.74","61,856.00","72,891.05","61,856.00","63,694.59","61,856.00","61,856.00","61,856.00","61,856.00","123,712.00",0,"61,856.00","61,856.00","61,856.00",0,"61,856.00","61,856.00","61,856.00",0,0,0,0,0,0,"61,913.61",0,0,"58,180.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.508,Building Code/Plan Review and Fire/Life Safety Consultant,"30,451.04","30,451.04","30,451.04","30,451.04","30,451.04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,930.00",0,0,"16,240.00",0,"8,015.00","1,266.04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.509,Cost Estimating Consultants,"301,685.00","301,685.00","301,685.00","301,685.00","301,685.00",0,0,0,0,0,0,0,0,0,"4,000.00","22,000.00","30,000.00","38,000.00",0,"50,000.00","25,000.00",0,0,"22,000.00",0,0,"75,000.00",0,0,"10,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,000.00","8,125.00",0,0,0,0,0,"8,560.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
