 ,Line Item,Description,Projected Budget,Projected Commitments,Estimate at Completion,Actuals To Date,Actuals + Projections,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct
 ,8.801,Loan Finance Charges/lnterest During Construction,"14,510,000.00","14,510,000.00","14,510,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.802,Detailed Project Program (DPP) & Predesign Study Costs,"505,000.00","505,000.00","505,000.00","505,000.00","505,000.00",0,0,"170,000.00",0,"85,000.00","36,275.00","209,130.00",0,"4,175.00",420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.803,"Environmental Review Costs, EIR Consultant & Related Costs","134,501.63","134,501.63","134,501.63","134,501.63","134,501.63",0,0,0,0,0,0,0,0,0,"3,001.67","2,307.22",0,"18,993.78",0,0,"34,178.37",0,"24,611.25",0,"1,539.13",0,"20,892.84","9,377.37",0,0,0,0,0,0,0,0,0,0,"12,442.97",0,0,0,0,0,0,"4,558.01","2,599.02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.807,Value Engineering Sessions/Constructability and Peer Reviews,"2,535.73","2,535.73","2,535.73","2,535.73","2,535.73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,535.73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.808,"Plan Check Fees including DSA, SFM, & EH&S Review Charges","144,119.85","144,119.85","144,119.85","144,119.85","144,119.85",0,0,0,0,0,"2,090.00",190,0,"1,235.00",95,0,475,0,0,0,"2,185.00",207,0,402,0,710,"1,822.00",0,"3,661.00","2,334.00","9,051.00","7,569.25","3,197.00","7,975.50",0,"7,709.00","5,296.50","13,179.00","9,795.00","1,322.00","6,785.00","4,830.00","6,325.00","5,405.00","6,812.00","1,833.00","3,220.00","6,325.00","5,865.00","4,140.00","2,472.00","5,364.00","2,337.00","1,400.00",0,426,0,0,0,80.6,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.81,Environmental Mitigation Monitoring Services,"219,631.98","219,631.98","219,631.98","179,734.17","179,734.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,750.00","1,876.64","4,486.05","6,978.59","2,373.59","1,993.95",647.5,"5,605.67","6,265.06","10,619.40","6,125.46",0,"3,871.25","14,419.80","8,444.45","3,640.00","24,317.40","7,420.85","1,435.00","4,900.76","2,100.29","7,962.56","1,627.50","5,960.09","8,018.17","3,213.58","4,311.25","4,397.86","10,575.20",930,"4,182.50",665,0,682.5,822.5,542.5,0,"1,408.75","1,032.50",980,551.25,"1,163.75","1,435.00",0,0,0,0
 ,8.811,Hazardous Material Consultant,"14,694.00","14,694.00","14,694.00","14,694.00","14,694.00",0,"1,944.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,750.00",0,"3,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.812,Special Design Consultants (Other),"1,838.54","1,838.54","1,838.54","1,838.54","1,838.54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,838.54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.813,Independent Seismic & Lateral Plan/Calc Review,"86,900.00","86,900.00","86,900.00","86,900.00","86,900.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,250.00",0,0,0,"21,250.00","42,500.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,400,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.816,"Interior Designer, Graphic Designer, Color Consultant","10,387.50","10,387.50","10,387.50","10,387.50","10,387.50",0,0,0,0,"6,500.00",0,0,0,"1,200.00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,387.50",0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.817,"Pre-Construction Services/CMAR or CMGC Delivery, Part 1","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00",0,0,0,0,0,0,0,0,0,"500,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.82,Parking Impact Charges,"1,574.00","1,574.00","1,574.00","1,574.00","1,574.00",0,0,0,0,0,0,0,135,366,0,0,0,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.821,"LEED Consulting Serv,, USGBC Fees, and Other Sustainability Consult,","6,656.00","6,656.00","6,656.00","6,656.00","6,656.00",0,0,0,0,0,0,0,0,"4,500.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,250.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.822,"Special Design Consult, (ADA, Acoustic, Lab, Light,, Roof,, Traffic)","71,206.88","71,206.88","71,206.88","71,206.88","71,206.88",0,0,0,0,"1,720.00",0,"1,862.25",0,"3,708.24",0,0,0,"3,200.00",0,0,0,0,"3,827.14","11,153.13","4,885.79",0,0,"13,520.00",0,"7,025.00","1,040.00","1,040.00",0,0,"3,605.00","1,040.00","1,040.00",0,"1,040.00",0,0,0,0,0,0,"1,600.00",0,0,0,0,0,0,"8,049.88",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,850.45",0,0,0,0,0,0
 ,8.824,"Building Commissioning Costs, Fundamental and Enhanced","193,420.00","193,420.00","193,420.00","190,688.52","190,688.52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,760.00",0,0,"1,870.00","3,556.72",0,"5,510.00",650,"1,870.00","1,728.15","2,000.00","2,610.00","1,395.00","1,960.00",0,0,"3,480.00","2,260.00","3,870.00","2,912.19","3,480.00","7,608.04","5,868.16","8,283.04","6,567.23",0,"17,140.10","10,948.04","27,285.39",0,"53,845.01","5,231.45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.827,Local Jurisdiction Fees/Potable & Reclaimed WaterlSewerlSDGE,"4,800.00","4,800.00","4,800.00","4,800.00","4,800.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,800.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.828,Other Campus Recharges,859.5,859.5,859.5,859.5,859.5,0,0,0,0,0,0,0,36.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844.06,0,-21.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,9,"Construction Contingency, Potential Unknown Factors","514,167.80",0,"514,167.80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,9.999,Project Contingency,"514,167.80",0,"514,167.80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Total 
Schedule Percent Complete", ,"176,977,698.23","176,257,947.58","176,977,698.23","161,405,318.29","161,405,534.29","0.00
3.72","26,262.51
5.46","231,029.86
7.29","104,504.33
9.11","160,461.58
10.85","144,754.62
12.76","218,187.41
14.59","65,843.69
16.33","110,759.43
18.15","533,428.01
19.98","32,000.36
21.80","1,220,811.81
23.46","657,703.03
25.37","625,039.00
27.03","654,093.50
28.94","6,696,193.92
30.76","34,432.11
32.50","262,638.39
34.41","1,514,332.85
36.15","872,347.14
39.47","390,339.60
43.12","2,007,088.82
46.60","4,234,930.24
50.42","1,571,151.42
53.74","2,952,674.64
57.38","6,986,138.20
59.62","6,723,603.56
61.53","7,035,412.82
63.27","6,866,384.57
64.68","9,347,959.83
64.68","10,847,662.86
64.68","10,854,842.49
64.68","15,851,572.47
64.68","15,749,515.97
64.68","7,713,094.52
64.68","8,110,916.83
64.68","7,068,028.95
64.68","5,329,416.71
64.68","4,266,030.52
64.68","5,402,358.82
64.68","128,800.17
64.68","1,559,668.59
64.68","1,621,915.05
64.68","1,300,374.59
64.68","827,623.06
64.68","1,570,606.82
64.68","1,319,663.95
64.68","652,635.70
64.68","99,162.38
64.68","63,321.29
64.68","30,030.68
64.68","(1,474,315.08)
64.68","29,993.45
64.68","19,386.50
64.68","5,127.80
64.68","1,888.25
64.68","1,968.50
64.68","216.00
64.68","1,618.75
64.68","1,320.50
64.68","1,012.50
64.68","166,025.70
64.68","1,228.75
64.68","1,565.00
64.68","0.00
64.68","0.00
64.68","532.00
64.68","216.00
100"
