 ,Line Item,Description,Projected Budget,Projected Commitments,Estimate at Completion,Actuals To Date,Actuals + Projections,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct
 ,3.301,Moveable Equipment & Furnishings,"522,000.00","522,000.00","522,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4,"Site Development, Outside Five Feet of Building Perimeter","11,840.00","11,840.00","11,840.00","11,840.00","11,840.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,895.00",0,0,"3,120.00",0,"2,825.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,4.407,Environmental Site Mitigation,"11,840.00","11,840.00","11,840.00","11,840.00","11,840.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,895.00",0,0,"3,120.00",0,"2,825.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5,External Design Consultant Fees,"1,207,699.92","1,207,699.92","1,207,699.92","1,207,699.92","1,207,699.92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100,162.66",0,"66,213.99","34,084.41","9,500.00","26,596.91",0,"127,058.19","126,421.25","20,300.00","1,110.00","301,365.13",0,"39,976.17","33,463.79",0,"23,163.76","42,059.96","20,165.60","34,545.84","29,541.96","39,442.80","17,505.00","43,126.75","25,928.75",0,0,"9,725.00",0,"26,728.30",0,0,0,0,0,"8,834.15",0,0,0,679.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.501,Executive Architect/Engineer,"1,033,245.60","1,033,245.60","1,033,245.60","1,033,245.60","1,033,245.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100,000.00",0,"66,213.99","33,786.01",0,"26,512.50",0,"126,365.70","126,122.80",0,0,"244,421.70",0,"19,442.30","32,653.00",0,"17,505.00","35,010.00","17,580.60","17,505.00","29,505.00","17,505.00","17,505.00","35,981.25","23,663.75",0,0,"9,725.00",0,"26,728.30",0,0,0,0,0,"8,834.15",0,0,0,679.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.506,Project Management Consultants,"1,375.00","1,375.00","1,375.00","1,375.00","1,375.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,375.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.507,Construction Management and/or Scheduling Consultants,"50,000.00","50,000.00","50,000.00","50,000.00","50,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,710.00",0,"2,585.00","15,820.00",0,"21,855.00",0,"7,015.00",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.509,Cost Estimating Consultants,"46,300.00","46,300.00","46,300.00","46,300.00","46,300.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,500.00",0,0,0,0,"20,300.00",0,"14,500.00",0,"2,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.511,Executive Architect/Engineer Reimbursable Costs,"11,205.32","11,205.32","11,205.32","11,205.32","11,205.32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.66,0,0,298.4,0,84.41,0,692.49,298.45,0,0,"2,943.43",0,"1,533.87",810.79,0,"1,573.76",195.96,0,110.84,36.96,82.8,0,130.5,"2,250.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.512,Executive A/E Additional Services/Design Change Authorizations,"6,854.00","6,854.00","6,854.00","6,854.00","6,854.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,854.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.599,Other External Design Consultants,"58,720.00","58,720.00","58,720.00","58,720.00","58,720.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,110.00","39,500.00",0,"17,000.00",0,0,0,0,0,"1,110.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,6,Internal FD&C Recharge Services,"327,183.04","327,183.04","327,183.04","327,183.04","327,183.04",0,0,0,0,0,0,0,0,0,0,"1,945.00",0,"5,145.50",0,"3,262.75","2,504.25","3,602.00","3,653.75","5,083.00","5,838.25","4,405.00","6,108.25","20,125.00","11,212.50","12,025.00","15,352.50","14,525.00","8,962.50","11,157.50","9,720.00","14,552.50","21,890.00","14,627.50","15,335.50","18,555.50","12,839.25","14,863.75","19,042.00","9,646.00","-27,284.96","9,833.00","5,695.00","5,878.00","6,808.50","6,035.50","6,392.00","3,475.50","1,733.75","2,596.00","2,484.00","1,646.50","2,456.00","3,994.50","4,588.00","1,048.00","1,393.00","1,171.00",55,0,0,0,944,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,6.601,FD&C Project Administration,"55,333.00","55,333.00","55,333.00","55,333.00","55,333.00",0,0,0,0,0,0,0,0,0,0,0,0,230,0,165,330,495,825,660,660,825,990,"1,600.00","1,425.00","1,000.00","1,280.00",800,600,"1,120.00","1,520.00","1,440.00","1,640.00","1,440.00","2,448.00","3,075.00","1,837.50","2,725.00","3,600.00","1,800.00","1,975.00","2,150.00","1,450.00","1,625.00","1,862.50","1,100.00","1,100.00","1,380.00",600,"1,140.00","1,140.00",780,780,780,780,600,780,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
