,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Line Item,Description,Projected Budget,Projected Commitments,Estimate at Completion,Actuals To Date,Actuals + Projections,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021
 ,06.605,FD&C IOR/Construction Inspection,"382,043.00","382,043.00","382,043.00","382,043.00","382,043.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,896.00,0.00,0.00,0.00,0.00,448.00,472.00,0.00,944.00,"1,180.00",0.00,"1,888.00","1,062.00","1,180.00",944.00,"5,192.00",0.00,"6,962.00","10,000.00","14,875.00","11,750.00","11,875.00","12,625.00","26,000.00","14,500.00",0.00,"20,250.00","18,375.00","24,125.00","19,000.00","16,375.00","15,625.00","21,000.00",0.00,"4,125.00",375.00,0.00,0.00,0.00,0.00,"120,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,06.607,FD&C Project Specialist,"115,557.25","115,557.25","115,557.25","115,557.25","115,557.25",0.00,82.50,605.00,715.00,"2,048.75",756.25,"2,090.00","1,622.50","1,952.50","2,310.00",302.50,"1,485.00","3,107.50","3,538.00",0.00,"3,625.00","8,468.00",0.00,"3,538.00","1,421.00","2,958.00","7,221.00","7,250.00",0.00,"3,190.00","2,160.00","3,030.00","3,105.00","2,100.00","2,190.00","3,000.00","2,070.00",0.00,"1,860.00","1,950.00","2,130.00","1,530.00","3,417.75","2,614.50","3,591.00",0.00,913.50,"1,606.50","4,063.50","3,559.50","3,433.50","4,095.00","4,851.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,07,"Advertisement, Surveys, Soils Reports, Material Testing & Special Inspection, Reproduction Costs","481,034.12","481,034.12","481,034.12","481,034.12","481,034.12",3.45,0.00,0.00,0.00,"8,172.33","15,322.05","4,155.50",384.15,"25,404.09",522.54,"9,366.20","15,460.55",18.61,0.54,"3,055.69",8.34,0.00,"6,236.36","2,021.99",2.70,"9,007.43",257.80,"1,635.12","3,159.60","3,770.17",659.00,"18,930.00","21,170.50","32,546.25","79,167.85",0.00,"38,335.50","80,639.02","26,942.00",0.00,"45,348.50","1,672.04","2,965.00","21,085.75",0.00,"3,607.50",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,07.701,Publishing and Advertising Costs,"1,635.12","1,635.12","1,635.12","1,635.12","1,635.12",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,635.12",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,07.702,Boundary and Topographic Surveys,"48,654.10","48,654.10","48,654.10","48,654.10","48,654.10",0.00,0.00,0.00,0.00,0.00,"3,038.55","3,448.50",0.00,"25,230.00",0.00,"3,012.95",0.00,0.00,0.00,"2,800.00",0.00,0.00,"3,000.00",0.00,0.00,"7,312.50",0.00,0.00,152.60,0.00,659.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,07.703,"Soils, Geology, Foundation Recommendations, Hydrology","130,233.75","130,233.75","130,233.75","130,233.75","130,233.75",0.00,0.00,0.00,0.00,"8,170.60","12,283.50",292.00,0.00,0.00,0.00,0.00,"14,048.90",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,000.00",0.00,0.00,"18,930.00","18,772.50","32,546.25","5,835.00",0.00,"3,382.50",157.50,0.00,0.00,"3,287.50","1,025.00","2,965.00","1,930.00",0.00,"3,607.50",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,07.704,Material & Workmanship Testing & Inspection,"279,168.11","279,168.11","279,168.11","279,168.11","279,168.11",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,398.00",0.00,"73,332.85",0.00,"34,953.00","80,325.51","26,942.00",0.00,"42,061.00",0.00,0.00,"19,155.75",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,07.707,Construction Document Reproduction Costs,"9,256.49","9,256.49","9,256.49","9,256.49","9,256.49",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,502.75,15.00,0.00,0.00,0.00,243.81,0.00,0.00,0.00,"2,021.99",0.00,"1,694.93",257.80,0.00,0.00,"3,717.16",0.00,0.00,0.00,0.00,0.00,0.00,0.00,156.01,0.00,0.00,0.00,647.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,07.708,Postal/Courier Services,153.01,153.01,153.01,153.01,153.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.13,0.00,19.25,74.61,6.15,7.27,0.00,0.00,6.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,12.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,07.709,"Meals, Travel & Entertainment Costs","2,433.54","2,433.54","2,433.54","2,433.54","2,433.54",3.45,0.00,0.00,0.00,1.73,0.00,415.00,364.02,174.09,0.54,0.00,"1,405.50",11.34,0.54,11.88,2.16,0.00,0.00,0.00,2.70,0.00,0.00,0.00,0.00,40.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
